course_id,learner_id,viewed,explored,certified,grade,nevents,ndays_act,learner_rating
4,31,5,0,0,0.0,0.000188040616773,0.024390243902439,0.504915656903842
4,32,0,0,0,0.0,0.000188040616773,0.024390243902439,0.004915656903842
8,33,5,5,5,0.7,0.268051899210229,1.07317073170732,3.26824452618351
4,34,5,0,0,0.0,0.061583301993231,0.146341463414634,0.541584953081573
3,35,5,0,0,0.0,0.003572771718691,0.024390243902439,0.505592603124226
3,36,0,0,0,0.0,0.000188040616773,0.048780487804878,0.00979370568433
4,36,5,0,0,0.0,0.000376081233546,0.073170731707317,0.514709362588173
6,36,5,5,5,0.89,0.691049266641595,2.0,3.53820985332832
8,37,5,0,0,0.0,0.001222264009026,0.024390243902439,0.505122501582293
3,38,0,0,0,0.0,0.001974426476119,0.097560975609756,0.019907080417175
3,39,0,0,0,0.0,0.000188040616773,0.024390243902439,0.004915656903842
4,40,5,0,0,0.02,0.132850695750282,0.536585365853659,0.633887212320788
4,40,5,0,0,0.01,0.08602858217375,0.390243902439024,0.595254496922555
5,41,0,0,0,0.0,0.0,0.024390243902439,0.004878048780488
8,42,5,0,0,0.0,0.003666792027078,0.097560975609756,0.520245553527367
10,42,5,0,0,0.0,0.011564497931553,0.195121951219512,0.541337289830213
12,43,0,0,0,0.0,0.000188040616773,0.024390243902439,0.004915656903842
5,43,5,0,0,0.08,0.149962391876645,0.24390243902439,0.578772966180207
3,44,5,0,0,0.0,0.001598345242572,0.024390243902439,0.505197717829002
4,45,5,0,0,0.01,0.093832267769838,0.170731707317073,0.552912795017382
3,46,5,0,0,0.0,0.004889056036104,0.097560975609756,0.520490006329172
8,47,5,0,0,0.0,0.02858217374953,0.195121951219512,0.544740824993809
2,48,5,0,0,0.0,0.006863482512223,0.097560975609756,0.520884891624396
10,49,0,0,0,0.0,0.000470101541933,0.024390243902439,0.004972069088874
4,50,5,0,0,0.04,0.174219631440391,0.073170731707317,0.549478072629542
9,51,5,0,0,0.0,0.001598345242572,0.097560975609756,0.519831864170466
4,52,5,0,0,0.0,0.0,0.048780487804878,0.509756097560976
11,53,0,0,0,0.0,0.004795035727717,0.024390243902439,0.005837055926031
9,54,5,0,0,0.0,0.001692365550959,0.048780487804878,0.510094570671167
11,54,5,0,0,0.0,0.075404287326063,0.219512195121951,0.558983296489603
4,54,5,0,0,0.0,0.008649868371568,0.073170731707317,0.516364120015777
0,55,5,0,0,0.06,0.042779240315908,0.170731707317073,0.542702189526596
10,56,5,0,0,0.0,0.00084618277548,0.048780487804878,0.509925334116071
10,57,5,0,0,0.0,0.00028206092516,0.024390243902439,0.50493446096552
9,58,0,0,0,0.0,0.00028206092516,0.024390243902439,0.00493446096552
4,59,0,0,0,0.0,0.001128243700639,0.048780487804878,0.009981746301103
12,60,5,0,0,0.08,0.020966528770214,0.048780487804878,0.513949403315019
3,61,5,5,5,0.97,0.627961639714178,1.14634146341463,3.35486062062576
11,62,0,0,0,0.0,9.40203083866115e-05,0.024390243902439,0.004896852842165
4,62,0,0,0,0.0,9.40203083866115e-05,0.024390243902439,0.004896852842165
3,63,5,0,0,0.0,0.003666792027078,0.073170731707317,0.515367504746879
11,64,5,5,5,0.94,0.606242948476871,1.04878048780488,3.33100468725635
12,64,5,0,0,0.0,0.007521624670929,0.073170731707317,0.516138471275649
11,65,5,0,0,0.04,0.010530274539301,0.097560975609756,0.521618250029811
2,66,5,0,0,0.0,0.00028206092516,0.024390243902439,0.50493446096552
10,67,5,0,0,0.0,0.008273787138022,0.048780487804878,0.51141085498858
10,68,5,0,0,0.0,0.027830011282437,0.097560975609756,0.525078197378439
12,68,5,0,0,0.16,0.06214742384355,0.195121951219512,0.551453875012613
10,69,5,0,0,0.0,0.00084618277548,0.048780487804878,0.509925334116071
8,70,0,0,0,0.0,0.00084618277548,0.073170731707317,0.014803382896559
11,71,0,0,0,0.0,9.40203083866115e-05,0.024390243902439,0.004896852842165
9,72,5,5,0,0.0,0.003478751410305,0.048780487804878,1.51045184784304
4,72,5,0,0,0.0,0.004042873260624,0.048780487804878,0.5105646722131
6,73,5,0,0,0.03,0.09712297856337,0.170731707317073,0.553570937176089
8,74,0,0,0,0.0,0.000376081233546,0.073170731707317,0.014709362588173
2,75,5,0,0,0.0,0.00084618277548,0.073170731707317,0.514803382896559
11,76,0,0,0,0.0,0.000188040616773,0.048780487804878,0.00979370568433
9,77,0,0,0,0.0,0.000188040616773,0.048780487804878,0.00979370568433
4,77,5,0,0,0.0,0.000470101541933,0.024390243902439,0.504972069088874
3,78,5,0,0,0.03,0.029710417450169,0.341463414634146,0.574234766416863
11,79,0,0,0,0.0,9.40203083866115e-05,0.024390243902439,0.004896852842165
12,80,5,0,0,0.0,0.00056412185032,0.024390243902439,0.504990873150552
